data,campanha_id,campanha_nome,objetivo,plataforma,alcance,impressoes,frequencia,gasto,cpm,cliques_todos,ctr_todos,cliques_link,ctr_link,cpc_link,visualizacoes_pagina_destino,video_3s,thruplays,adicoes_carrinho,checkouts_iniciados,compras,custo_por_compra,valor_compras,roas,leads,custo_por_lead,conversas_iniciadas,custo_por_conversa
2026-06-05,CAMP-005,Institucional Video,Reconhecimento,Meta Ads,26842,102000,3.80,556.00,5.45,491,0.48,306,0.30,1.82,246,41901,13589,,,,,,,,,,
2026-06-06,CAMP-005,Institucional Video,Reconhecimento,Meta Ads,22130,101800,4.60,554.00,5.44,351,0.34,204,0.20,2.72,170,31158,11838,,,,,,,,,,
2026-06-07,CAMP-005,Institucional Video,Reconhecimento,Meta Ads,19808,103000,5.20,560.00,5.44,264,0.26,154,0.15,3.64,135,42350,15452,,,,,,,,,,
2026-06-01,CAMP-006,WhatsApp Conversas Vendas,Mensagens,Meta Ads,9773,21500,2.20,380.50,17.70,1054,4.90,666,3.10,0.57,552,7001,2241,,,,,,,,,52,7.32
2026-06-02,CAMP-006,WhatsApp Conversas Vendas,Mensagens,Meta Ads,9909,21800,2.20,385.20,17.67,1056,4.84,676,3.10,0.57,553,9118,2795,,,,,,,,,50,7.70
2026-06-03,CAMP-006,WhatsApp Conversas Vendas,Mensagens,Meta Ads,9609,22100,2.30,390.80,17.68,1132,5.12,663,3.00,0.59,547,7752,2913,,,,,,,,,48,8.14
2026-06-04,CAMP-006,WhatsApp Conversas Vendas,Mensagens,Meta Ads,9522,21900,2.30,388.40,17.74,1188,5.42,679,3.10,0.57,567,8458,2499,,,,,,,,,24,16.18
2026-06-05,CAMP-006,WhatsApp Conversas Vendas,Mensagens,Meta Ads,9292,22300,2.40,392.60,17.61,1077,4.83,669,3.00,0.59,587,8240,2754,,,,,,,,,16,24.54
2026-06-06,CAMP-006,WhatsApp Conversas Vendas,Mensagens,Meta Ads,9167,22000,2.40,396.10,18.00,1084,4.93,638,2.90,0.62,501,8142,2689,,,,,,,,,12,33.01
2026-06-07,CAMP-006,WhatsApp Conversas Vendas,Mensagens,Meta Ads,8960,22400,2.50,401.30,17.92,1156,5.16,672,3.00,0.60,535,9303,2679,,,,,,,,,9,44.59
